country,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74152,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76854,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81392,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82728,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70409,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79462,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86234,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82994,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86568,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86959,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94042,,,,,,,
2005,395661.0,395661.0,,,,,,39640.8,,,,,,117466.3,,,58380.2,,,77121.5,,,229036.7,,,43576.4,,,56005.4,,,52333.4,,,,,,,,,,,,1230771.4,,,1230.77,1123197.8,1230771.4,1230771.4,,,,,,,,,,,1230771.4,,,,,,,,,,16739.5,,,586804.2,586804.2,,,324154.2,324154.2,,,,262650.0,262650.0,,,835110.4,,824494.4,,1537274.4,,248306.3,248306.3,,,237690.3,237690.3,,,10616.0,10616.0,,,,702164.0,702164.0,,,677144.0,677144.0,25020.0,25020.0,306503.0,306503.0,,,222985.0,222985.0,83518.0,83518.0,,1.09577,,,,10616.0,10616.0,,
2006,419484.0,419484.0,,,,,,41619.0,,,,,,135471.3,,,64635.5,,,91203.0,,,263248.7,,,49813.0,,,66189.9,,,56042.7,,,,,,,,,,,,1411491.4,,,1411.49,1189455.3,1411491.4,1411491.4,,,,,,,,,,,1411491.4,1425853.0,684567.7,39252.8,14361.8,24891.0,,,,62843.5,17574.8,,,678441.9,678441.9,,,367359.9,367359.9,,,678441.9,311082.0,311082.0,,,992007.4,,967122.3,,1836529.4,,313565.5,313565.5,,,288680.4,288680.4,,,24885.0,24885.0,,,313565.5,844522.0,844522.0,,,791338.0,791338.0,53184.0,53184.0,425038.0,425038.0,,,261401.6,261401.6,163636.4,163636.4,,1.18667,,,,24885.0,24885.0,,
2007,389886.0,389886.0,,,,,,43182.8,,,,,,154959.3,,,74324.9,,,110366.7,,,308219.6,,,61040.6,,,75699.8,,,61112.4,,,,,,,,,,,,1558827.5,,,1558.83,1243968.2,1558827.5,1558827.5,,,,,,,,,,,1558827.5,1582799.0,762656.6,56730.1,23971.1,32759.0,,,,63869.2,18279.9,,,756272.8,756272.8,,,434186.8,434186.8,,,756272.8,322086.0,322086.0,,,1168941.5,,1124960.0,,2103261.5,,412668.7,412668.7,,,368687.2,368687.2,,,43981.5,43981.5,,,412668.7,934320.0,934320.0,,,874403.0,874403.0,59917.0,59917.0,544434.0,544434.0,,,338088.6,338088.6,206345.4,206345.4,,1.25311,,,,43981.5,43981.5,,
2008,548133.0,548133.0,,,,,,45161.3,,,,,,175100.9,,,79681.0,,,133338.2,,,364416.7,,,77774.3,,,84033.5,,,69270.6,,,,,,,,,,,,1949238.3,,,1949.24,1347422.7,1949238.3,1949238.3,,,,,,,,,,,1949238.3,1983607.0,1028268.9,80618.3,34368.3,46249.9,,,,86293.9,18825.7,,,869044.6,869044.6,,,523946.6,523946.6,,,869044.6,345098.0,345098.0,,,1401105.3,,1313543.3,,2611806.3,,532060.7,532060.7,,,444498.7,444498.7,,,87562.0,87562.0,,,532060.7,1210701.0,1210701.0,,,1175552.0,1175552.0,35149.0,35149.0,662568.0,662568.0,,,431752.7,431752.7,230815.3,230815.3,,1.44664,,,,87562.0,87562.0,,
2009,149952.4,149952.4,,,,,,45925.6,,,,,,174599.8,,,80378.8,,,147835.5,,,408005.2,,,88869.8,,,92485.6,,,78814.4,,,,,,,,,,,,1609117.0,,,1609.12,1329736.0,1609117.0,1609117.0,,,,,,,,,,,1609117.0,1641515.0,588915.4,74070.2,32398.5,41671.7,,,,103772.2,19299.4,,,948827.6,948827.6,,,591812.6,591812.6,,,948827.6,357015.0,357015.0,,,1459164.6,,1363280.6,,2216875.6,,510337.0,510337.0,,,414453.0,414453.0,,,95884.0,95884.0,,,510337.0,757711.0,757711.0,,,721152.0,721152.0,36559.0,36559.0,607758.6,607758.6,,,358289.6,358289.6,249469.0,249469.0,,1.2101,,,,95884.0,95884.0,,
2010,328605.0,328605.0,328606.0,328606.0,1985703.8,1985703.8,1985703.8,52298.0,52298.0,52298.0,1065680.2,1065680.2,1065680.2,218171.0,218171.0,218171.0,90780.5,90780.5,90780.5,174505.8,174505.8,174505.8,776945.1,776945.1,776945.1,101204.8,101204.8,101204.8,94327.7,94327.7,94327.7,88276.2,88276.2,88276.2,280863.0,280863.0,280863.0,37767.6,37767.6,37767.6,1966108.7,1966108.7,1966108.7,1980777.4,1980777.4,1980777.4,1980.78,1413023.4,1980777.4,1980777.4,103.7,,,51351.2,43606.0,77.8,1980777.4,1980777.4,1909.39,1199898.6,1980777.4,2007193.0,862898.3,68143.2,26414.7,41728.5,14668.7,14668.7,14668.7,104703.3,19595.1,19595.1,19595.1,1039590.4,1039590.4,1039590.4,1039590.4,639417.4,639417.4,639417.4,639417.4,1039590.4,400173.0,400173.0,400173.0,400173.0,1652172.4,1652171.4,1523511.4,1523511.4,2634038.4,2634038.4,612582.0,612582.0,612581.0,612581.0,483921.0,483921.0,483921.0,483921.0,128661.0,128661.0,128660.0,128660.0,612582.0,981866.0,981866.0,981867.0,981867.0,941785.0,941785.0,40081.0,40081.0,653261.0,653261.0,653261.0,653261.0,400736.0,400736.0,252525.0,252525.0,27516.9,1.4018,0.0,0.0,0.0,128661.0,128661.0,128660.0,128660.0
2011,668426.0,668426.0,392695.1,392695.1,2519937.8,2182038.7,2182038.7,54658.0,54565.8,54565.8,1495806.1,1195008.7,1195008.7,252003.6,237597.4,237597.4,107021.1,99739.1,99739.1,197926.2,188256.3,188256.3,862452.6,832725.1,832725.1,115272.3,115173.5,115173.5,98338.9,95568.8,95568.8,96714.8,90368.5,90368.5,312308.0,303155.7,303155.7,41892.5,40202.2,40202.2,2499861.0,2162229.0,2162229.0,2517146.0,2178794.0,2178794.0,2517.15,1586749.0,2517146.0,2517146.0,119.8,9.996915865,9.996915865,56127.0,46686.2,85.6,2178794.0,2178794.0,2100.28,1319851.5,2517146.0,2553462.0,1273311.4,74121.4,36315.4,37806.0,17285.0,16565.0,16565.0,110326.9,20076.8,19809.7,19809.7,1169823.2,1169823.2,1117073.6,1117073.6,681761.2,681761.2,650434.9,650434.9,1169823.2,488062.0,488062.0,466638.7,466638.7,1848720.0,1786097.7,1738615.8,1676617.2,3259561.0,2867783.9,678896.9,678896.9,669024.1,669024.1,568792.7,568792.7,559543.6,559543.6,110104.2,110104.2,109480.5,109480.5,678896.9,1410841.0,1410841.0,1081686.2,1081686.2,1367620.0,1367620.0,43221.0,43221.0,742415.0,742415.0,688991.1,688991.1,493449.1,493449.1,248965.9,248965.9,28270.7,1.58635,0.0,0.0,0.0,110104.2,110104.2,109481.7,109481.7
2012,690800.9,690800.9,376585.4,376585.4,2759083.5,2297121.1,2297121.1,57388.0,56096.1,56096.1,1611703.7,1254138.3,1254138.3,270179.5,247269.1,247269.1,118513.0,104498.7,104498.7,219143.9,199616.7,199616.7,971478.7,882388.0,882388.0,124278.5,120858.3,120858.3,108046.9,98815.3,98815.3,124391.0,101158.8,101158.8,349649.0,319349.5,319349.5,45969.5,42589.4,42589.4,2738411.7,2277150.2,2277150.2,2759905.7,2296698.5,2296698.5,2759.91,1672470.7,2759905.7,2759905.7,124.7,5.411458252,5.411458252,57694.0,47993.8,90.2,2296698.5,2296698.5,2213.93,1391274.7,2759905.7,2801113.0,1350120.3,88678.3,41207.3,47471.0,21494.0,19548.4,19548.4,114409.0,20671.8,19970.9,19970.9,1336583.6,1336583.6,1230668.8,1230668.8,785404.6,785404.6,726340.4,726340.4,1336583.6,551179.0,551179.0,504328.4,504328.4,2069104.8,1920111.1,1951489.5,1818016.3,3566928.3,3038439.9,732521.2,732521.2,689442.3,689442.3,614905.9,614905.9,587347.5,587347.5,117615.3,117615.3,102094.9,102094.9,732521.2,1497823.5,1497823.5,1118328.8,1118328.8,1456386.0,1456386.0,41437.5,41437.5,807022.6,807022.6,741743.4,741743.4,583473.1,583473.1,223549.6,223549.6,28988.6,1.6502,0.0,0.0,0.0,117615.3,117615.3,102096.9,102096.9
2013,591536.5,591536.5,351470.4,351470.4,2799968.2,2359678.7,2359678.7,60403.0,57936.9,57936.9,1541517.2,1249041.8,1249041.8,278071.3,255603.2,255603.2,134588.3,112617.5,112617.5,241586.4,212698.3,212698.3,1063459.8,940082.4,940082.4,134258.1,128619.6,128619.6,116344.9,103061.3,103061.3,153460.2,115306.8,115306.8,368070.0,335056.5,335056.5,49740.2,45339.9,45339.9,2778752.7,2339509.8,2339509.8,2799926.7,2358691.2,2358691.2,2799.93,1680158.0,2799926.7,2799926.7,123.1,2.699207932,2.699207932,56563.3,48102.2,92.7,2358691.2,2358691.2,2273.69,1428828.1,2799926.7,2850782.0,1248665.4,94389.2,50855.2,43534.0,21174.0,19181.5,19181.5,134859.9,21215.5,20168.9,20168.9,1467256.7,1467256.7,1310132.0,1310132.0,838734.7,838734.7,749694.7,749694.7,1467256.7,628522.0,628522.0,560437.4,560437.4,2208390.2,2007220.4,2129711.8,1930441.0,3662055.0,3127545.6,741133.5,741133.5,697088.4,697088.4,662455.2,662455.2,620309.0,620309.0,78678.3,78678.3,76779.5,76779.5,741133.5,1453664.8,1453664.8,1120325.1,1120325.1,1409853.3,1409853.3,43811.4,43811.4,862128.2,862128.2,768854.7,768854.7,630582.0,630582.0,231546.2,231546.2,29704.0,1.66647,0.0,0.0,0.0,78678.3,78678.3,76779.9,76779.9
2014,371843.9,371843.9,279688.5,279688.5,2834435.8,2445219.1,2445219.1,63164.0,59383.7,59383.7,1468721.0,1283997.4,1283997.4,306188.8,279986.5,279986.5,152964.9,120211.4,120211.4,266649.0,225420.7,225420.7,1149585.9,981626.7,981626.7,144712.7,136601.3,136601.3,124048.0,106216.9,106216.9,168943.0,119382.0,119382.0,391626.0,346098.4,346098.4,53607.1,47907.5,47907.5,2812793.5,2424874.9,2424874.9,2836313.5,2444841.7,2444841.7,2836.31,1722861.6,2836313.5,2836313.5,120.3,3.652468084,3.652468084,56613.5,48666.4,96.1,2444841.7,2444841.7,2356.73,1481015.6,2836313.5,2898286.0,1104020.1,101665.3,61972.3,39693.0,23520.0,19966.8,19966.8,145252.5,21642.4,20344.2,20344.2,1649013.2,1649013.2,1423451.8,1423451.8,909857.2,909857.2,795672.7,795672.7,1649013.2,739156.0,739156.0,627779.2,627779.2,2464469.5,2165153.2,2363266.5,2090193.3,3793999.9,3264697.1,815456.4,815456.4,741701.4,741701.4,714253.3,714253.3,666741.4,666741.4,101203.1,101203.1,74959.9,74959.9,815456.4,1329530.4,1329530.4,1099543.9,1099543.9,1283715.0,1283715.0,45815.4,45815.4,957686.4,957686.4,819855.5,819855.5,651876.0,651876.0,305810.4,305810.4,30432.0,1.64628,0.0,0.0,0.0,101203.1,101203.1,74959.9,74959.9
2015,-109863.2,-109863.2,296692.0,296692.0,2449589.2,2544642.6,2544642.6,64267.0,59744.1,59744.1,947790.6,1349854.1,1349854.1,311215.1,298441.2,298441.2,162974.7,125183.8,125183.8,278030.2,231744.6,231744.6,1274557.0,1009860.6,1009860.6,155289.5,144518.7,144518.7,128873.2,107346.0,107346.0,181538.0,123490.0,123490.0,475067.0,353948.6,353948.6,55759.1,48812.7,48812.7,2427517.2,2524112.0,2524112.0,2453511.8,2545236.5,2545236.5,2453.51,1541831.9,2453511.8,2453511.8,100.0,4.106394087,4.106394087,49491.3,49491.3,100.0,2545236.5,2545236.5,2453.51,1541831.9,2453511.8,2518313.0,625715.1,95912.5,64800.1,31112.4,25995.0,21124.5,21124.5,167651.1,22071.9,20530.6,20530.6,1724946.1,1724946.1,1466260.7,1466260.7,988806.9,988806.9,849475.3,849475.3,1724946.1,736139.2,736139.2,616785.4,616785.4,2563375.0,2248544.5,2457378.7,2157663.5,3380914.0,3355646.6,838428.9,838428.9,782283.8,782283.8,732432.6,732432.6,691402.8,691402.8,105996.3,105996.3,90881.1,90881.1,838428.9,817539.0,817539.0,1107102.0,1107102.0,763262.0,763262.0,54277.0,54277.0,927402.2,927402.2,810410.1,810410.1,655033.4,655033.4,272368.8,272368.8,31153.6,1.5913,-0.4,0.0,0.0,105996.3,105996.3,90881.1,90881.1
2016,10312.0,10312.0,532921.7,532921.7,2415128.0,2587637.2,2587637.2,64951.9,60122.0,60122.0,884192.4,1388459.6,1388459.6,312160.3,307986.9,307986.9,159575.0,121202.7,121202.7,276086.2,228074.0,228074.0,1306408.6,1017852.8,1017852.8,160587.3,148466.7,148466.7,133394.3,109916.3,109916.3,191454.1,127228.1,127228.1,487515.2,354519.3,354519.3,57371.6,49648.4,49648.4,2392646.3,2566928.9,2566928.9,2418508.3,2587758.8,2587758.8,2418.51,1475671.8,2418508.3,2418508.3,97.0,1.670664036,1.670664036,46289.7,49173.1,101.7,2587758.8,2587758.8,2494.5,1567590.8,2418508.3,2477484.0,658697.3,89889.5,58975.4,30914.1,25862.0,20830.0,20830.0,158697.7,22481.6,20708.3,20708.3,1660088.7,1660088.7,1365815.0,1365815.0,1035456.6,1035456.6,857275.5,857275.5,1660088.7,624632.2,624632.2,508539.5,508539.5,2408196.4,2054837.1,2291926.3,1960136.7,3161421.7,3250483.1,748107.6,748107.6,689022.1,689022.1,631837.5,631837.5,594321.6,594321.6,116270.1,116270.1,94700.5,94700.5,748107.6,753225.3,753225.3,1195646.0,1195646.0,688528.0,688528.0,64697.3,64697.3,742913.3,742913.3,662724.3,662724.3,525636.0,525636.0,217277.4,217277.4,31879.0,1.63892,0.0,0.0,0.0,116270.1,116270.1,94700.5,94700.5
2017,142566.2,142566.2,493860.5,493860.5,2581646.4,2570783.4,2570783.4,65290.2,60422.0,60422.0,1029282.9,1356217.4,1356217.4,332901.3,311981.6,311981.6,154592.1,117258.5,117258.5,274969.9,229378.3,229378.3,1332481.1,1036885.5,1036885.5,165172.9,151789.9,151789.9,140892.4,115306.6,115306.6,201776.0,134487.0,134487.0,491077.3,355600.3,355600.3,58592.7,50323.3,50323.3,2558820.0,2549820.7,2549820.7,2582197.9,2568569.9,2568569.9,2582.2,1565891.6,2582197.9,2582197.9,104.3,-0.741528414,-0.741528414,47862.0,47558.7,100.9,2568569.9,2568569.9,2476.0,1555966.6,2582197.9,2622316.0,784250.6,70915.8,40117.1,30798.7,23378.0,18749.1,18749.1,143442.2,22826.4,20962.6,20962.6,1694622.2,1694622.2,1410258.1,1410258.1,1063644.1,1063644.1,884961.8,884961.8,1694622.2,630978.1,630978.1,525296.3,525296.3,2439631.7,2074709.3,2326854.5,2008753.0,3339606.7,3233561.4,745009.5,745009.5,664451.2,664451.2,632232.3,632232.3,598494.9,598494.9,112777.2,112777.2,65956.3,65956.3,745009.5,899975.0,899975.0,1158852.1,1158852.1,831981.4,831981.4,67993.7,67993.7,757408.9,757408.9,664991.5,664991.5,504446.6,504446.6,252962.3,252962.3,32716.8,1.64903,-0.1,0.0,0.0,112777.2,112777.2,65956.3,65956.3
