country,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
subject,B1G,B1GVA,B1GVB_E,B1GVC,B1GVF,B1GVG_I,B1GVG_U,B1GVJ,B1GVK,B1GVL,B1GVM_N,B1GVR_U,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,PPPGDP
measure,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,VNBQR,CQR,GPSA,GYSA,VNBQR,CD
unit,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Percentage,Percentage,Yuan Renminbi,Yuan Renminbi
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Millions,Units
reference_period,,,,,,,,,,,,,,2020,,,,2020,
time,,,,,,,,,,,,,,,,,,,
2016-Q1,16241000.0,866550.0,5366640.0,4578400.0,776300.0,2720960.0,9231520.0,512880.0,1534040.0,1128300.0,498530.0,2836810.0,16241000.0,18124740.8,16241000.0,1.4,6.9,18124740.8,3.93315
2016-Q2,18140820.0,1304550.0,6083920.0,5237830.0,1294380.0,2908710.0,9457970.0,513070.0,1481170.0,1220970.0,507510.0,2826540.0,18140820.0,20167073.2,18140820.0,1.9,6.8,20167073.2,3.95837
2016-Q3,19101060.0,1816220.0,6190250.0,5246830.0,1387060.0,3057780.0,9707530.0,466230.0,1494540.0,1261530.0,545240.0,2882210.0,19101060.0,21132826.7,19101060.0,1.7,6.8,21132826.7,4.00568
2016-Q4,21156620.0,2257780.0,6899840.0,5887840.0,1692150.0,3348640.0,10306840.0,520230.0,1486640.0,1386140.0,601580.0,2963610.0,21156620.0,23045868.4,21156620.0,1.6,6.9,23045868.4,4.05815
2017-Q1,18186770.0,859580.0,6090930.0,5141970.0,872530.0,3023990.0,10363710.0,591520.0,1675880.0,1304700.0,581190.0,3186430.0,18186770.0,19401961.9,18186770.0,1.7,7.0,19401961.9,4.1297
2017-Q2,20195030.0,1320420.0,6809980.0,5817210.0,1457440.0,3231220.0,10607190.0,597790.0,1585630.0,1405900.0,586840.0,3199810.0,20195030.0,21579568.4,20195030.0,1.7,7.0,21579568.4,4.17417
2017-Q3,21278930.0,1894420.0,6932720.0,5863260.0,1559010.0,3387010.0,10892780.0,553980.0,1629040.0,1405490.0,646460.0,3270800.0,21278930.0,22594039.8,21278930.0,1.6,6.9,22594039.8,4.21085
2017-Q4,23542870.0,2391580.0,7678290.0,6565210.0,1901580.0,3691210.0,11571410.0,637600.0,1593880.0,1592510.0,712840.0,3343370.0,23542870.0,24624316.0,23542870.0,1.6,6.8,24624316.0,4.22052
2018-Q1,20203570.0,900580.0,6690560.0,5663190.0,1007380.0,3317980.0,11605050.0,721220.0,1805060.0,1486350.0,687950.0,3586490.0,20203570.0,20749940.5,20203570.0,1.8,6.9,20749940.5,4.23933
2018-Q2,22396220.0,1366220.0,7512210.0,6429490.0,1640430.0,3532870.0,11877380.0,730960.0,1740100.0,1617610.0,688530.0,3567310.0,22396220.0,23071045.3,22396220.0,1.6,6.9,23071045.3,4.21884
2018-Q3,23447430.0,1896180.0,7623960.0,6434820.0,1729450.0,3712900.0,12197840.0,669090.0,1778060.0,1591400.0,753330.0,3693060.0,23447430.0,24101124.8,23447430.0,1.4,6.7,24101124.8,4.2273
2018-Q4,25880890.0,2592900.0,8282210.0,7066210.0,2172040.0,4012410.0,12833750.0,752080.0,1737810.0,1766950.0,817040.0,3747460.0,25880890.0,26231077.8,25880890.0,1.5,6.5,26231077.8,4.22934
2019-Q1,21716830.0,924870.0,6989240.0,5922730.0,1110280.0,3543060.0,12692460.0,863390.0,1942300.0,1618010.0,759580.0,3966120.0,21716830.0,22051117.2,21716830.0,1.0,6.3,22051117.2,4.20436
2019-Q2,24150260.0,1511170.0,7849010.0,6676830.0,1788930.0,3791610.0,13001160.0,860230.0,1886450.0,1769220.0,752900.0,3940750.0,24150260.0,24447551.0,24150260.0,1.2,6.0,24447551.0,4.1872
2019-Q3,25104630.0,2063280.0,7819630.0,6557300.0,1866690.0,3975420.0,13355030.0,762550.0,1918600.0,1757630.0,833420.0,4107410.0,25104630.0,25511210.9,25104630.0,1.4,5.9,25511210.9,4.20435
2019-Q4,27679800.0,2858380.0,8527990.0,7256820.0,2298900.0,4291940.0,13994520.0,853020.0,1877710.0,1899620.0,917900.0,4154330.0,27679800.0,27745894.0,27679800.0,1.3,5.8,27745894.0,4.23621
2020-Q1,20524480.0,1074770.0,6351760.0,5291490.0,927340.0,2904300.0,12170610.0,924490.0,2097900.0,1526030.0,726370.0,3991520.0,20524480.0,20524480.0,20524480.0,-10.5,-6.9,20524480.0,4.23565
2020-Q2,24834770.0,1666810.0,7901590.0,6807850.0,1894340.0,3731640.0,13372030.0,990960.0,2057620.0,1852250.0,729290.0,4010270.0,24834770.0,25193356.7,24834770.0,11.6,3.1,25193356.7,4.14596
2020-Q3,26435570.0,2306530.0,8057060.0,6838810.0,1976010.0,4040290.0,14095980.0,894830.0,2143540.0,1908690.0,814410.0,4294220.0,26435570.0,26745798.2,26435570.0,3.4,4.8,26745798.2,4.15445
2020-Q4,29561880.0,3091540.0,8979890.0,7703620.0,2446780.0,4519210.0,15043660.0,1014140.0,2062710.0,2055550.0,976700.0,4415350.0,29561880.0,29525319.9,29561880.0,2.6,6.4,29525319.9,4.20635
2021-Q1,24798500.0,1193200.0,8086710.0,6855200.0,1192640.0,3779560.0,14325960.0,1097900.0,2293220.0,1921250.0,796110.0,4437920.0,24798500.0,24467890.0,24798500.0,0.3,18.3,24467890.0,4.21699
2021-Q2,28152800.0,1793620.0,9355990.0,8017830.0,2115720.0,4329070.0,14887470.0,1162230.0,2240270.0,1997880.0,792230.0,4365790.0,28152800.0,26770070.0,28152800.0,1.3,7.9,26770070.0,4.18411
2021-Q3,28991930.0,2408450.0,9292500.0,7751080.0,2104220.0,4523830.0,15186760.0,1030640.0,2329760.0,1863580.0,889720.0,4549230.0,28991930.0,27768880.0,28991930.0,0.7,4.9,27768880.0,4.16517
2021-Q4,32423740.0,3282240.0,10522330.0,8755610.0,2601270.0,4908200.0,16017910.0,1104880.0,2257310.0,1973370.0,1056960.0,4717190.0,32423740.0,30570270.0,32423740.0,1.6,4.0,30570270.0,4.15224
