country,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN
1991-Q1,,-106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285360.7,778987.7,,71340.2,,7.7,3.56899132,8.616998943,32.0,,,3691637.9,848003.8,,,,,,,,,,,,,,137645.4,375749.1,,,,7.2,15.901095314,12.355783222,28.8,,,1905672.3,437750.8,,,,,24640.1,67263.4,,6160.0,,6.0,49.851910013,-1.199841584,36.3,,,407578.1,93624.5,,,,,,,,84662.2,231113.9,,21165.6,,6.8,-14.114914405,48.354465922,33.1,,,1251273.6,287429.3,,,,,,,,,,,,,,,,,,,,,,,,,67748.3,184941.7,,16937.1,,11.7,8.953779088,7.265612673,23.8,,,580133.1,133262.0,,,,,,,,,68174.1,186103.9,,17043.5,,11.9,-3.554263566,29.462977255,23.9,,,573163.7,131661.1,,,,,,,,,366.32252,,,38838.8,,,,,
1991-Q2,,436.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295693.3,808593.7,,73923.3,,7.8,2.555983803,8.713169008,32.8,,,3785995.6,869678.6,,,,,,,,,,,,,,142047.0,388437.2,,,,7.5,-0.727073558,4.474340649,28.6,,,1891816.7,434568.0,,,,,24696.2,67533.5,,6174.1,,6.2,-2.671028198,-0.906292335,35.3,,,396691.6,91123.8,,,,,,,,83768.3,229070.2,,20942.1,,7.0,-3.72154181,69.191786577,31.9,,,1204706.9,276732.5,,,,,,,,,,,,,,,,,,,,,,,,,73774.3,201740.9,,18443.6,,10.2,24.520319846,26.106698288,29.6,,,722383.6,165938.3,,,,,,,,,72028.2,196966.0,,18007.0,,12.2,2.598829187,29.929682,24.6,,,588059.3,135082.7,,,,,,,,,365.6884,,,43435.7,,,,,
1991-Q3,,1188.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306013.0,827205.8,,76503.2,,8.0,1.339736366,9.073365163,33.3,,,3836718.0,881330.0,,,,,,,,,,,,,,143757.8,388602.0,,,,7.6,-0.384071275,4.89434968,28.5,,,1884550.7,432898.9,,,,,27001.3,72989.1,,6750.3,,6.6,3.792032082,1.59541558,36.6,,,411734.3,94579.2,,,,,,,,86303.1,233292.0,,21575.8,,7.1,1.533845477,-26.552530639,32.3,,,1223185.3,280977.1,,,,,,,,,,,,,,,,,,,,,,,,,77272.1,208879.7,,19318.0,,10.7,0.30052308,20.063236725,29.7,,,724554.5,166437.0,,,,,,,,,72519.8,196033.4,,18129.9,,12.0,3.090522138,13.160440568,25.3,,,606233.4,139257.5,,,,,,,,,369.93575,,,44198.6,,,,,
1991-Q4,,1390.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314979.8,848596.2,,78744.9,,8.1,1.533548928,9.289915022,33.8,,,3895555.9,894845.7,,,,,,,,,,,,,,147922.8,398523.0,,,,7.7,1.694162161,16.558292217,28.9,,,1916478.1,440233.0,,,,,27510.6,74117.1,,6877.6,,6.7,0.102773794,51.535555316,36.7,,,412157.4,94676.4,,,,,,,,93891.4,252955.6,,23472.9,,6.8,12.697304733,-5.382548958,36.4,,,1378496.8,316653.6,,,,,,,,,,,,,,,,,,,,,,,,,80675.3,217349.7,,20168.8,,11.1,0.013662039,36.095903584,29.7,,,724653.5,166459.7,,,,,,,,,75114.7,202368.6,,18778.7,,11.8,5.423906986,7.543281654,26.7,,,639114.9,146810.7,,,,,,,,,371.17743,,,40094.3,,,,,
1992-Q1,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322859.6,864625.1,,80714.9,,8.2,1.091365275,6.675430354,34.2,,,3938070.6,904611.7,,,,,,,,,,,,,,142408.7,381373.8,,,,7.8,-4.204259356,-3.661066353,27.7,,,1835904.4,421724.4,,,,,29265.2,78372.8,,7316.3,,6.8,3.883091968,5.050259472,38.1,,,428161.9,98352.8,,,,,,,,87158.2,233411.7,,21789.6,,7.2,-12.284857883,-3.366421453,32.0,,,1209150.4,277753.2,,,,,,,,,,,,,,,,,,,,,,,,,77170.6,206664.5,,19292.6,,11.2,-5.264347892,18.335814353,28.1,,,686505.2,157696.7,,,,,,,,,73690.7,197345.3,,18422.7,,12.9,-10.629696595,-0.346287291,23.9,,,571178.9,131205.1,,,,,,,,,373.40989,,,60547.5,,,,,
1992-Q2,,767.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332192.7,874873.6,,83048.2,,8.3,1.290625138,5.359245036,34.6,,,3988896.4,916286.8,,,,,,,,,,,,,,149049.5,392541.7,,,,7.7,5.784367595,2.657930374,29.3,,,1942099.8,446118.5,,,,,28848.4,75976.0,,7212.1,,6.9,-2.272878415,5.479995215,37.2,,,418430.3,96117.4,,,,,,,,93271.6,245643.2,,23317.9,,7.1,9.058953293,9.461214143,34.9,,,1318686.8,302914.7,,,,,,,,,,,,,,,,,,,,,,,,,83055.7,218738.3,,20763.9,,12.2,-0.436058075,-5.381064211,28.0,,,683511.7,157009.0,,,,,,,,,79984.0,210648.4,,19996.0,,12.5,12.027073349,8.811317552,26.7,,,639875.0,146985.3,,,,,,,,,379.70362,,,57951.4,,,,,
1992-Q3,,2105.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345875.0,896198.5,,86468.7,,8.4,3.468742828,7.572695767,35.8,,,4127260.9,948070.5,,,,,,,,,,,,,,157003.5,406812.6,,,,7.8,3.28751053,6.44163238,30.3,,,2005946.6,460784.7,,,,,30585.2,79249.5,,7646.3,,7.1,2.579112692,4.247350195,38.2,,,429222.1,98596.3,,,,,,,,97323.0,252174.3,,24330.8,,7.2,2.718886169,10.738778214,35.8,,,1354540.4,311150.6,,,,,,,,,,,,,,,,,,,,,,,,,93360.8,241907.8,,23340.2,,11.9,15.191042883,8.665972572,32.3,,,787344.2,180860.3,,,,,,,,,84940.3,220089.3,,21235.1,,12.6,5.103944803,10.936470946,28.1,,,672533.9,154487.3,,,,,,,,,385.93567,,,52542.7,,,,,
1992-Q4,,5547.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357051.0,878931.0,,89262.7,,8.6,0.502289408,6.480097627,36.0,,,4147991.7,952832.5,,,,,,,,,,,,,,165471.9,407332.3,,,,7.9,4.28114155,9.149381805,31.6,,,2091824.0,480511.5,,,,,33567.7,82631.7,,8391.9,,7.3,7.200959642,11.639423738,40.9,,,460130.2,105696.2,,,,,,,,104468.9,257164.9,,26117.2,,7.1,8.254542276,6.37322495,38.8,,,1466351.5,336834.7,,,,,,,,,,,,,,,,,,,,,,,,,109750.2,270165.4,,27437.5,,11.5,21.136121251,31.615762897,39.1,,,953758.3,219087.2,,,,,,,,,87559.9,215541.1,,21890.0,,12.5,4.21447409,9.663797401,29.3,,,700877.7,160998.2,,,,,,,,,406.23322,,,31352.2,,,,,
1993-Q1,,3086.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376215.3,864424.0,,94053.8,,8.9,1.921953626,7.354960959,36.7,,,4227714.2,971145.5,,,,,,,,,,,,,,175252.0,402673.8,,,,8.2,2.787767876,17.116076826,32.5,,,2150139.2,493907.1,,,,,31516.5,72415.0,,7879.1,,7.4,-7.243053047,-0.31744426,38.0,,,426802.7,98040.6,,,,,,,,99442.1,228486.6,,24860.5,,7.8,-13.447349631,4.963456999,33.6,,,1269166.1,291539.3,,,,,,,,,,,,,,,,,,,,,,,,,91502.8,210244.6,,22875.7,,12.4,-22.387488145,7.826670644,30.4,,,740235.7,170039.1,,,,,,,,,79156.1,181875.8,,19789.0,,11.0,2.479117027,25.749255617,30.0,,,718253.2,164989.5,,,,,,,,,435.22078,,,57657.9,,,,,
1993-Q2,,4100.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388281.6,858352.9,,97070.4,,9.1,1.146154392,7.201840655,37.1,,,4276170.3,982276.4,,,,,,,,,,,,,,186306.4,411857.4,,,,8.4,3.057051634,14.096608517,33.5,,,2215870.0,509006.1,,,,,34524.7,76321.9,,8631.2,,8.1,-0.216191231,1.780395434,37.9,,,425880.0,97828.6,,,,,,,,99064.7,218996.9,,24766.2,,7.9,-1.337111094,-5.042203465,33.1,,,1252196.0,287641.1,,,,,,,,,,,,,,,,,,,,,,,,,94661.9,209264.0,,23665.5,,13.2,-3.099220238,4.942494869,29.4,,,717294.2,164769.2,,,,,,,,,78258.3,173001.3,,19564.6,,11.1,-1.974440246,10.032698365,29.4,,,704071.8,161731.9,,,,,,,,,452.35666,,,51982.2,,,,,
1993-Q3,,3103.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403310.8,883832.5,,100827.7,,9.1,3.35959042,7.088750086,38.3,,,4419832.1,1015276.8,,,,,,,,,,,,,,206700.6,452972.4,,,,8.5,9.131634442,20.552323392,36.5,,,2418215.2,555486.7,,,,,34802.0,76266.5,,8700.5,,8.0,2.671380919,1.871945228,38.9,,,437256.9,100442.0,,,,,,,,109642.2,240274.6,,27410.5,,8.0,9.357720542,1.095023166,36.2,,,1369372.9,314557.8,,,,,,,,,,,,,,,,,,,,,,,,,98051.6,214874.5,,24512.9,,12.9,6.147806224,-3.296164951,31.2,,,761392.1,174898.9,,,,,,,,,85637.1,187668.9,,21409.3,,11.2,9.057945332,14.17211814,32.1,,,767846.2,176381.5,,,,,,,,,456.32044,,,39751.6,,,,,
1993-Q4,,2590.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418015.2,919295.2,,104503.8,,9.2,3.340132525,10.11257247,39.6,,,4567460.4,1049188.4,,,,,,,,,,,,,,233746.3,514052.8,,,,8.8,10.449785322,27.683472205,40.3,,,2670913.5,613533.8,,,,,34512.3,75899.1,,8628.1,,8.0,-1.816737043,-6.697477152,38.2,,,429313.1,98617.2,,,,,,,,122257.8,268868.3,,30564.5,,8.1,10.306425701,3.011203291,39.9,,,1510506.4,346977.5,,,,,,,,,,,,,,,,,,,,,,,,,101786.9,223848.9,,25446.7,,12.8,4.119986192,-16.880267702,32.5,,,792761.3,182104.7,,,,,,,,,91424.3,201059.5,,22856.1,,11.2,6.661700223,16.853175581,34.2,,,818997.8,188131.5,,,,,,,,,454.71275,,,17136.2,,,,,
1994-Q1,,-482.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426817.6,940905.1,,106704.4,,9.3,0.913822294,9.023426016,40.0,,,4609198.9,1058776.1,,,,,,,,,,,,,,206445.8,455102.7,,,,8.9,-13.004599965,8.066114985,35.1,,,2323571.9,533746.2,,,,,32493.6,71631.0,,8123.4,,7.5,1.554439758,2.151760564,38.8,,,435986.5,100150.2,,,,,,,,110246.6,243034.9,,27561.6,,8.1,-9.72674349,7.43930704,36.1,,,1363583.3,313227.8,,,,,,,,,,,,,,,,,,,,,,,,,92637.7,204216.6,,23159.4,,13.1,-10.815116534,-4.486744966,29.0,,,707023.2,162409.9,,,,,,,,,94569.2,208474.7,,23642.3,,11.3,2.031096924,16.342314702,34.9,,,835632.5,191952.6,,,,,,,,,453.62453,,,79563.3,,,,,
1994-Q2,,3048.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448673.4,975803.1,,112168.3,,9.5,2.742164279,10.743733297,41.1,,,4735590.7,1087809.5,,,,,,,,,,,,,,221444.7,481611.8,,,,9.2,4.104846664,9.164837841,36.5,,,2418950.9,555655.7,,,,,35695.3,77632.4,,8923.8,,7.9,3.727403649,6.188940192,40.2,,,452237.5,103883.2,,,,,,,,125630.9,273229.9,,31407.7,,8.2,12.87717438,22.91800423,40.7,,,1539174.3,353562.7,,,,,,,,,,,,,,,,,,,,,,,,,108782.9,236587.9,,27195.7,,13.2,16.407008125,14.740173218,33.7,,,823024.6,189056.5,,,,,,,,,96588.5,210066.7,,24147.1,,11.3,2.053605065,21.123028185,35.6,,,852793.0,195894.5,,,,,,,,,459.79908,,,53708.1,,,,,
1994-Q3,,2930.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471262.6,977294.0,,117815.6,,10.0,-0.037292014,7.104173187,41.1,,,4733824.7,1087403.8,,,,,,,,,,,,,,251433.2,521416.6,,,,9.4,10.321863133,10.355428661,40.3,,,2668631.7,613009.7,,,,,36648.9,76001.7,,9162.2,,8.2,-1.390331772,1.988071731,39.7,,,445949.8,102438.9,,,,,,,,130127.8,269856.1,,32531.9,,8.3,1.611917092,14.21172637,41.4,,,1563984.5,359261.9,,,,,,,,,,,,,,,,,,,,,,,,,118091.8,244896.3,,29523.0,,13.6,5.165584887,13.67844382,35.5,,,865538.6,198822.3,,,,,,,,,106368.9,220585.5,,26592.2,,11.4,9.034105233,21.096550655,38.8,,,929835.3,213591.9,,,,,,,,,482.21164,,,41329.8,,,,,
1994-Q4,,1904.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491260.7,977990.8,,122815.2,,10.4,-0.051385778,3.589122889,41.0,,,4731392.2,1086845.1,,,,,,,,,,,,,,268823.2,535167.2,,,,9.7,4.326063486,4.236938287,42.0,,,2784078.4,639528.9,,,,,36236.9,72139.5,,9059.2,,8.5,-4.763261881,-1.072637168,37.8,,,424708.1,97559.4,,,,,,,,157335.6,313220.1,,39333.9,,9.4,7.256708401,11.054036547,44.4,,,1677478.3,385332.5,,,,,,,,,,,,,,,,,,,,,,,,,123806.8,246471.8,,30951.7,,13.5,5.771581812,15.48165977,37.5,,,915493.9,210297.5,,,,,,,,,116189.4,231307.3,,29047.4,,11.6,7.720764314,22.298941092,41.8,,,1001625.7,230082.8,,,,,,,,,502.31634,,,21247.7,,,,,
