country,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU
2006-Q1,130568.0,,,,,11191.7,,,,,,34056.7,,,16454.3,,,23478.7,,,67754.1,,,12670.0,,,17072.5,,,14532.9,,,,,,,,,,,,351824.3,,,,,351824.3,,,,,,,,,,,351824.3,354023.8,147333.3,7685.5,2199.5,5486.0,,,,14375.6,4393.7,,,159278.6,,89422.6,,159278.6,69856.0,,221256.3,,220409.8,,432577.3,,61977.7,,61131.3,,846.5,,61977.7,211321.0,,195451.0,15870.0,80753.0,,54942.1,25810.9,,,,,,846.4,
2006-Q2,118185.0,,,,,10798.0,,,,,,34497.7,,,16158.6,,,21782.0,,,65036.3,,,12958.0,,,16546.7,,,13749.6,,,,,,,,,,,,362661.3,,,,,362661.3,,,,,,,,,,,362661.3,366891.9,150729.8,10003.6,4230.6,5773.0,,,,16247.0,4481.6,,,165861.2,,92868.2,,165861.2,72993.0,,244476.3,,236420.5,,463967.3,,78615.1,,70559.3,,8055.8,,78615.1,219491.0,,208647.0,10844.0,101306.0,,66939.8,34366.2,,,,,,8055.8,
2006-Q3,103835.0,,,,,10404.2,,,,,,34199.8,,,16336.0,,,22121.3,,,64345.3,,,12349.0,,,16021.0,,,13854.0,,,,,,,,,,,,363121.7,,,,,363121.7,,,,,,,,,,,363121.7,368473.5,146159.1,11874.8,5351.8,6523.0,,,,15959.0,4253.1,,,172258.2,,93977.2,,172258.2,78281.0,,259286.7,,248754.5,,480361.7,,87028.5,,76496.3,,10532.2,,87028.5,221075.0,,207399.0,13676.0,117240.0,,67232.6,50007.4,,,,,,10532.2,
2006-Q4,66896.0,,,,,9225.1,,,,,,32717.2,,,15686.5,,,23821.0,,,66113.0,,,11836.0,,,16549.7,,,13906.2,,,,,,,,,,,,333884.1,,,,,333884.1,,,,,,,,,,,333884.1,336464.0,107806.5,9688.9,2579.9,7109.0,,,,16261.9,4446.4,,,181043.9,,91091.9,,181043.9,89952.0,,266988.1,,261537.5,,459623.1,,85944.2,,80493.6,,5450.6,,85944.2,192635.0,,179841.0,12794.0,125739.0,,72287.2,53451.8,,,,,,5450.6,
2007-Q1,78244.0,,,,,11640.7,,,,,,36521.1,,,18776.3,,,28405.3,,,79121.2,,,15935.0,,,19201.6,,,15579.4,,,,,,,,,,,,347752.7,,,,,347752.7,,,,,,,,,,,347752.7,352483.7,123240.3,11367.0,4731.0,6636.0,,,,13292.0,4442.0,,,183297.4,,106169.4,,183297.4,77128.0,,269508.7,,258669.0,,458506.7,,86211.3,,75371.6,,10839.7,,86211.3,188998.0,,174949.0,14049.0,110754.0,,76559.1,34194.9,,,,,,10839.7,
2007-Q2,80216.0,,,,,11158.8,,,,,,37858.0,,,18646.2,,,26555.6,,,75847.6,,,15171.5,,,19006.7,,,15113.8,,,,,,,,,,,,374121.8,,,,,374121.8,,,,,,,,,,,374121.8,380651.9,138263.5,15304.0,6530.0,8774.0,,,,17324.6,4697.9,,,189933.7,,111506.7,,189933.7,78427.0,,293905.8,,281128.2,,507773.8,,103972.2,,91194.5,,12777.6,,103972.2,213868.0,,202070.0,11798.0,133652.0,,83060.5,50591.5,,,,,,12777.6,
2007-Q3,85044.0,,,,,10757.3,,,,,,38341.3,,,18711.3,,,26925.5,,,74990.1,,,14445.1,,,18451.0,,,15168.6,,,,,,,,,,,,393357.1,,,,,393357.1,,,,,,,,,,,393357.1,400441.2,150945.3,16581.1,7084.1,9497.0,,,,18302.0,4460.3,,,194257.7,,111962.7,,194257.7,82295.0,,308313.1,,296091.3,,546165.1,,114055.4,,101833.5,,12221.8,,114055.4,237852.0,,222935.0,14917.0,152808.0,,86962.0,65846.0,,,,,,12221.8,
2007-Q4,146382.0,,,,,9626.0,,,,,,42238.8,,,18191.1,,,28480.3,,,78260.7,,,15489.1,,,19040.6,,,15250.7,,,,,,,,,,,,443595.8,,,,,443595.8,,,,,,,,,,,443595.8,449221.8,203833.6,13478.0,5626.0,7852.0,,,,14950.6,4679.7,,,188783.9,,104547.9,,188783.9,84236.0,,297213.8,,289071.5,,590815.8,,108429.9,,100287.6,,8142.3,,108429.9,293602.0,,274449.0,19153.0,147220.0,,91507.0,55713.0,,,,,,8142.3,
2008-Q1,148714.0,,,,,12082.4,,,,,,44041.6,,,19662.0,,,34189.1,,,92424.7,,,19579.8,,,21157.6,,,17498.2,,,,,,,,,,,,492351.1,,,,,492351.1,,,,,,,,,,,492351.1,500201.8,227616.7,16778.9,7850.5,8928.4,,,,19886.3,4749.5,,,206467.1,,130250.1,,206467.1,76217.0,,343637.1,,316902.1,,649207.1,,137170.0,,110435.0,,26735.0,,137170.0,305570.0,,299943.0,5627.0,156856.0,,95933.4,60922.6,,,,,,26735.0,
2008-Q2,207290.0,,,,,11588.4,,,,,,46927.2,,,19901.0,,,32175.2,,,89320.0,,,19105.5,,,20849.9,,,17189.4,,,,,,,,,,,,557569.8,,,,,557569.8,,,,,,,,,,,557569.8,567967.4,272411.8,22478.2,10397.4,12080.8,,,,21389.4,4826.2,,,221810.5,,132565.5,,221810.5,89245.0,,350279.8,,333618.8,,725114.8,,128469.4,,111808.4,,16661.0,,128469.4,374835.0,,367106.0,7729.0,167545.0,,105704.9,61840.1,,,,,,16661.0,
2008-Q3,175822.0,,,,,11309.1,,,,,,45656.4,,,20082.0,,,33143.0,,,90806.0,,,19452.0,,,20956.0,,,17255.0,,,,,,,,,,,,535505.9,,,,,535505.9,,,,,,,,,,,535505.9,543143.9,253816.3,21120.4,7637.9,13482.5,,,,23761.7,4590.0,,,215281.9,,131240.9,,215281.9,84041.0,,359683.9,,331991.9,,710470.9,,144402.0,,116710.0,,27692.0,,144402.0,350787.0,,341527.0,9260.0,174965.0,,113892.9,61072.2,,,,,,27692.0,
2008-Q4,16307.0,,,,,10181.4,,,,,,38475.7,,,20036.0,,,33831.0,,,91866.0,,,19637.0,,,21070.0,,,17328.0,,,,,,,,,,,,363811.5,,,,,363811.5,,,,,,,,,,,363811.5,372294.3,91390.6,20240.8,8482.5,11758.3,,,,21256.7,4660.0,,,225485.1,,129890.1,,225485.1,95595.0,,347504.5,,331030.5,,527013.5,,122019.4,,105545.4,,16474.0,,122019.4,179509.0,,166976.0,12533.0,163202.0,,116221.6,46980.4,,,,,,16474.0,
2009-Q1,-5077.4,,,,,12417.0,,,,,,41171.5,,,19710.9,,,36577.6,,,101364.8,,,22464.5,,,22776.5,,,19546.2,,,,,,,,,,,,352014.5,,,,,352014.5,,,,,,,,,,,352014.5,365193.7,70770.3,19000.4,13179.4,5821.0,,,,25338.2,4788.2,,,236031.0,,149036.8,,236031.0,86994.2,,357091.9,,341256.9,,498999.9,,121060.9,,105225.9,,15835.0,,121060.9,141908.0,,135613.0,6295.0,146985.4,,86279.4,60706.0,,,,,,15835.0,
2009-Q2,16241.0,,,,,11661.5,,,,,,43339.1,,,19955.0,,,34090.2,,,95993.5,,,21663.3,,,20708.0,,,19532.0,,,,,,,,,,,,386801.4,,,,,386801.4,,,,,,,,,,,386801.4,397218.1,100341.5,19524.2,10416.5,9107.7,,,,26425.4,4959.3,,,234130.6,,149959.6,,234130.6,84171.0,,370560.4,,335702.4,,551412.4,,136429.8,,101571.8,,34858.0,,136429.8,180852.0,,172321.0,8531.0,164611.0,,90812.0,73799.0,,,,,,34858.0,
2009-Q3,49642.9,,,,,11443.1,,,,,,44308.1,,,20198.4,,,37315.5,,,104121.1,,,22453.1,,,24562.6,,,19789.9,,,,,,,,,,,,422833.4,,,,,422833.4,,,,,,,,,,,422833.4,430022.3,137342.2,19740.1,7189.1,12551.0,,,,25023.1,4726.0,,,227952.9,,145641.7,,227952.9,82311.2,,373190.5,,330474.5,,576193.5,,145237.6,,102521.6,,42716.0,,145237.6,203003.0,,194192.0,8811.0,153360.1,,89367.2,63992.9,,,,,,42716.0,
2009-Q4,89146.0,,,,,10404.1,,,,,,45781.1,,,20514.6,,,39852.2,,,106525.8,,,22288.9,,,24438.4,,,19946.2,,,,,,,,,,,,447467.7,,,,,447467.7,,,,,,,,,,,447467.7,449081.1,129365.3,15805.5,1613.5,14192.0,,,,26985.5,4825.8,,,250713.1,,147174.5,,250713.1,103538.6,,358321.7,,355846.7,,590269.7,,107608.7,,105133.7,,2475.0,,107608.7,231948.0,,219026.0,12922.0,142802.0,,91830.9,50971.1,,,,,,2475.0,
2010-Q1,82438.0,82436.6,482620.5,482620.5,,14120.5,14120.5,,246808.9,246808.9,,54446.9,54446.9,,23149.0,23149.0,,47116.6,47116.6,,198542.2,198542.2,,26313.3,26313.3,,24525.2,24525.2,,22951.8,22951.8,,68155.6,68155.6,,9479.7,9479.7,,477721.7,477721.7,,481074.1,481074.1,,1924.3,,481074.1,,,,,,,481074.1,,,,481074.1,491611.1,169924.1,16412.4,10536.9,5875.5,3352.4,3352.4,,25466.4,4898.8,4898.8,,251047.7,251047.7,156759.2,156759.2,251047.7,94288.5,94288.5,398636.1,398637.5,367486.9,367486.9,623976.1,623976.7,147588.4,147589.8,116439.2,116439.2,31149.2,31150.6,147588.4,225340.0,225339.2,218109.0,7231.0,142902.0,142902.6,91584.0,51318.0,27194.4,,0.0,0.0,,31149.2,31150.6
2010-Q2,62516.0,62514.7,477749.3,477749.3,,13597.5,13597.5,,260286.5,260286.5,,53467.9,53467.9,,22695.1,22695.1,,40136.3,40136.3,,181170.2,181170.2,,25098.8,25098.8,,23581.9,23581.9,,21627.7,21627.7,,61283.5,61283.5,,9441.9,9441.9,,472752.5,472752.5,,476504.5,476504.5,,1906.02,,476504.5,,,,,,,476504.5,,,,476504.5,485679.6,154484.8,18274.1,9175.1,9099.0,3752.0,3752.0,,25526.0,4996.8,4996.8,,260925.0,260925.0,164331.8,164331.8,260925.0,96593.2,96593.2,413988.5,413989.8,374167.8,374167.8,651774.5,651774.1,153063.5,153064.8,113242.7,113242.7,39820.8,39822.0,153063.5,237786.0,237784.3,229396.0,8390.0,175270.0,175269.6,102491.0,72779.0,27408.2,,0.0,0.0,,39820.8,39822.0
2010-Q3,73522.0,73523.2,480862.0,480862.0,,13074.5,13074.5,,263941.7,263941.7,,55156.0,55156.0,,22967.5,22967.5,,41881.4,41881.4,,180878.3,180878.3,,24027.5,24027.5,,22638.6,22638.6,,21804.2,21804.2,,61122.4,61122.4,,9404.1,9404.1,,476120.0,476120.0,,479784.3,479784.3,,1919.14,,479784.3,,,,,,,479784.3,,,,479784.3,484908.7,168793.4,17702.4,5124.4,12578.0,3664.3,3664.3,,24363.3,4742.0,4742.0,,246700.2,246700.2,159314.8,159314.8,246700.2,87385.4,87385.4,406262.3,406261.1,356709.4,356709.4,642742.3,642741.9,159562.1,159560.8,110009.1,110009.1,49552.9,49551.7,159562.1,236480.0,236480.8,226448.0,10032.0,162958.0,162957.6,100106.0,62852.0,27624.3,,0.0,0.0,,49552.9,49551.7
2010-Q4,110129.0,110131.4,544472.0,544472.0,,11505.6,11505.6,,294643.1,294643.1,,55100.2,55100.2,,21968.9,21968.9,,45371.5,45371.5,,216354.5,216354.5,,25765.2,25765.2,,23581.9,23581.9,,21892.5,21892.5,,90301.4,90301.4,,9441.9,9441.9,,539514.4,539514.4,,543414.4,543414.4,,2173.66,,543414.4,,,,,,,543414.4,,,,543414.4,544992.7,183701.0,15754.2,1578.2,14176.0,3900.0,3900.0,,29347.6,4957.6,4957.6,,280917.4,280917.4,159011.5,159011.5,280917.4,121906.0,121906.0,433285.4,433283.0,425147.3,425147.3,715545.4,715545.7,152368.0,152365.6,144229.9,144229.9,8138.1,8135.7,152368.0,282260.0,282262.7,267832.0,14428.0,172131.0,172131.3,106555.0,65576.0,27840.5,,0.0,0.0,,8138.1,8135.7
2011-Q1,156239.0,99830.2,600706.4,531682.0,,14746.3,14716.1,,336951.3,279244.4,,62316.2,59019.9,,27290.4,24924.7,,53470.1,50410.6,,221718.4,212796.8,,29990.8,29986.6,,25568.1,24767.1,,25145.8,23261.2,,77008.5,74194.1,,10535.0,10177.2,,595657.2,526735.3,,598789.2,529790.9,,2395.16,,598789.2,,,,,,,529790.9,,,,598789.2,606803.6,231737.7,15692.4,8014.4,7678.0,3132.0,3055.6,,25593.8,5049.2,4946.7,,293245.8,282601.7,164296.9,159335.9,293245.8,128948.9,123265.8,442550.2,429960.3,447233.9,435665.0,755216.2,676669.9,149304.4,147358.6,153988.1,153063.3,-4683.7,-5704.7,149304.4,312666.0,246709.6,304907.0,7759.0,156427.0,146879.4,108909.1,47517.9,27975.4,,0.0,0.0,,-4683.7,-5704.3
2011-Q2,162792.0,80485.6,630493.4,530336.4,,14205.4,14155.5,,376301.0,293760.7,,62584.7,57938.9,,26765.3,25120.1,,45538.0,43100.1,,213221.7,197300.1,,28567.5,28483.2,,24577.7,23830.2,,23690.1,22228.9,,80425.2,69619.8,,10423.1,10037.9,,625408.8,525281.4,,630448.8,529964.0,,2521.8,,630448.8,,,,,,,529964.0,,,,630448.8,642270.6,248711.5,20890.8,11821.8,9069.0,5040.0,4682.7,,28696.9,5084.6,5055.1,,305663.0,283997.8,170636.0,163818.6,305663.0,135027.0,120179.2,467656.8,449478.4,442865.1,418847.1,820632.8,707069.4,161993.8,165480.7,137202.1,134849.3,24791.6,30631.4,161993.8,352976.0,257590.9,342634.0,10342.0,190184.0,177105.4,125722.7,64461.3,28171.1,,0.0,0.0,,24791.6,30631.4
2011-Q3,159110.0,76679.8,631279.5,544869.8,,13670.2,13652.5,,388751.9,312879.7,,63939.1,60588.9,,27026.3,25321.4,,47472.3,45239.4,,201831.0,193016.2,,27319.5,27238.8,,23598.3,22913.0,,23868.5,22260.9,,69201.1,65416.7,,10371.2,9947.3,,626445.9,540074.2,,631439.9,544830.6,,2525.76,,631439.9,,,,,,,544830.6,,,,631439.9,641333.1,260207.1,20080.3,9893.3,10187.0,4994.0,4756.4,,27650.4,4833.6,4795.6,,294054.5,277187.5,172538.0,163475.1,294054.5,121516.5,113712.3,472329.9,468150.7,411795.0,392274.0,836445.9,734078.7,178275.4,190963.3,117740.5,115086.6,60534.9,75876.7,178275.4,364116.0,265927.9,352534.0,11582.0,205006.0,189248.2,128484.9,76521.1,28369.0,,0.0,0.0,,60534.9,75876.8
2011-Q4,190285.0,135699.6,657458.6,575150.5,,12036.1,12041.7,,393801.8,309123.8,,63163.6,60049.7,,25939.1,24372.9,,51445.8,49506.2,,225681.6,229612.0,,29394.4,29464.9,,24594.7,24058.5,,24010.3,22617.5,,85673.2,93925.1,,10563.1,10039.9,,652349.2,570138.2,,656468.2,574208.5,,2625.87,,656468.2,,,,,,,574208.5,,,,656468.2,663054.1,296166.1,17457.9,6585.9,10872.0,4119.0,4070.3,,28385.7,5109.4,5012.3,,276859.9,273286.6,174290.2,163805.3,276859.9,102569.7,109481.3,466183.2,438508.2,436721.8,429831.0,847266.2,749965.9,189323.3,165221.6,159861.9,156544.4,29461.4,8677.2,189323.3,381083.0,311457.7,367545.0,13538.0,190798.0,175758.2,130332.4,60465.6,28567.2,,0.0,0.0,,29461.4,8677.9
2012-Q1,199800.9,92229.7,712139.7,577494.8,,15494.8,15169.6,,426017.9,313141.9,,71124.5,63433.9,,30220.8,26138.1,,59268.9,53500.4,,240406.2,223045.2,,32337.4,32002.8,,28192.2,25603.1,,32221.7,25457.1,,76847.8,75774.5,,11538.3,10707.3,,706971.7,572514.4,,710785.7,576032.2,,2843.14,,710785.7,,,,,,,576032.2,,,,710785.7,717942.9,305523.0,18092.1,7157.1,10935.0,3814.0,3517.8,,28417.5,5168.0,4980.4,,317259.6,300897.8,190408.7,178616.7,317259.6,126850.9,122281.1,510984.8,483801.9,495799.1,471900.4,906464.0,757987.5,193725.2,182904.0,178539.5,171002.5,15185.7,11901.5,193725.2,395479.2,274185.7,386790.0,8689.2,195678.3,181956.0,136483.3,59194.9,28710.1,,0.0,0.0,,15185.7,11902.2
2012-Q2,166291.0,92490.8,680144.5,565988.5,,14920.9,14649.5,,406731.4,318225.9,,67043.4,60827.0,,29628.3,26183.1,,50303.1,45802.6,,228864.1,206929.9,,30787.1,29933.1,,26711.7,24434.8,,30595.8,24849.6,,78974.0,71218.2,,11492.4,10691.6,,674873.2,560885.2,,680133.2,565657.5,,2720.53,,680133.2,,,,,,,565657.5,,,,680133.2,693307.4,269881.3,24801.2,13174.2,11627.0,5260.0,4772.3,,30891.0,5271.3,5103.3,,328670.5,303103.3,198876.7,185017.0,328670.5,129793.8,118086.3,513842.2,473166.2,465500.1,433989.3,891430.7,759930.8,185171.7,170062.9,136829.6,130885.9,48342.1,39177.0,185171.7,377588.5,286764.5,367846.0,9742.5,211297.4,194273.8,150436.9,60860.5,28894.8,,0.0,0.0,,48342.1,39177.5
2012-Q3,156034.1,77850.0,681262.8,571072.8,,14347.0,13963.5,,391038.5,319065.8,,65417.0,61292.1,,29983.8,26599.8,,52394.5,47910.5,,245893.5,211443.7,,29440.6,28377.4,,26131.2,23832.5,,30724.6,25257.2,,95756.2,75419.4,,11446.4,10646.7,,676260.2,566237.0,,682017.2,571278.7,,2728.07,,682017.2,,,,,,,571278.7,,,,682017.2,693346.5,231159.8,23679.3,11329.3,12350.0,5757.0,5041.7,,26706.0,5002.6,4835.7,,371439.3,328545.1,197240.7,181691.4,371439.3,174198.6,146853.7,525983.1,493428.5,516266.6,466674.9,881638.8,753979.5,154543.8,164883.4,144827.3,138129.8,9716.4,26753.6,154543.8,355655.7,260551.0,346435.0,9220.7,199621.6,182701.0,148036.6,51585.0,29081.5,,0.0,0.0,,9716.4,26753.8
2012-Q4,168674.7,114015.0,685536.4,582565.0,,12625.4,12313.4,,387916.0,303704.7,,66594.7,61716.1,,28680.2,25577.7,,57177.4,52403.2,,256314.9,240969.2,,31713.4,30545.0,,27011.7,24944.9,,30849.0,25594.9,,98071.0,96937.3,,11492.4,10543.8,,680306.5,577513.5,,686969.5,583730.1,,2747.88,,686969.5,,,,,,,583730.1,,,,686969.5,696516.2,284401.1,22105.7,9546.7,12559.0,6663.0,6216.6,,28394.5,5230.0,5051.5,,319214.2,298122.5,198878.5,181015.3,319214.2,120335.7,117107.2,518294.7,469714.5,473923.7,445451.8,887394.8,766542.2,199080.6,171592.0,154709.5,147329.3,44371.0,24262.8,199080.6,369100.1,296827.6,355315.0,13785.1,200425.4,182812.7,148516.2,51909.1,29268.2,,0.0,0.0,,44371.0,24263.3
